Epoch,Step,Loss
0,0,6.288713455200195
0,10,6.171926498413086
0,20,6.123745441436768
0,30,6.112089157104492
0,40,6.343521595001221
0,50,6.044384479522705
0,60,6.17345666885376
0,70,6.341997146606445
0,80,6.186776161193848
0,90,5.956821918487549
0,100,5.915841102600098
0,110,5.853068828582764
0,120,5.841773986816406
0,130,6.129339694976807
0,140,6.588003158569336
0,150,6.030604839324951
0,160,6.546037673950195
0,170,5.940427303314209
0,180,6.304204940795898
0,190,5.997610569000244
0,200,5.622189998626709
0,210,5.57882022857666
0,220,5.587677001953125
0,230,5.643428325653076
0,240,6.590472221374512
0,250,5.666114807128906
0,260,7.403539180755615
0,270,5.967029571533203
0,280,6.5771074295043945
0,290,5.457710266113281
0,300,5.337451457977295
0,310,5.50007963180542
0,320,6.520877361297607
0,330,5.770398139953613
0,340,5.407397747039795
0,350,5.240975856781006
0,360,5.256505966186523
0,370,5.479072570800781
0,380,5.431999206542969
0,390,6.510294437408447
0,400,5.882765769958496
0,410,5.105483531951904
0,420,5.072184085845947
0,430,5.066501140594482
0,440,5.053523063659668
0,450,5.055666446685791
1,100,5.462690353393555
1,110,5.360138893127441
1,120,5.02275276184082
1,130,4.921446323394775
1,140,4.894683361053467
1,150,4.93326997756958
1,160,5.29124116897583
1,170,6.390444278717041
1,180,5.567350387573242
1,190,4.835020542144775
1,200,4.765465259552002
1,210,4.733700275421143
1,220,4.706154823303223
1,230,4.68720817565918
1,240,4.704132080078125
1,250,4.7177300453186035
1,260,4.616919994354248
1,270,4.641891002655029
1,280,4.694328784942627
1,290,4.879395008087158
1,300,4.705574989318848
1,310,4.5130767822265625
1,320,4.490391731262207
1,330,4.470083236694336
1,340,4.44990348815918
1,350,4.432352066040039
1,360,6.221015453338623
1,370,8.331470489501953
1,380,4.379863739013672
1,390,4.35167932510376
1,400,4.3298234939575195
1,410,4.311697959899902
1,420,4.293500900268555
1,430,4.275767803192139
1,440,4.260241508483887
1,450,4.241137981414795
1,460,4.2215752601623535
1,470,4.198637962341309
1,480,4.183688640594482
1,490,4.178064346313477
1,500,4.158076286315918
1,510,4.127066135406494
1,520,4.102005958557129
1,530,4.084397315979004
1,540,4.064417839050293
1,550,4.04709005355835
2,200,4.040911674499512
2,210,4.019343852996826
2,220,4.001965045928955
2,230,3.9866409301757812
2,240,3.965902805328369
2,250,3.950347900390625
2,260,3.9328184127807617
2,270,3.9160258769989014
2,280,3.8980119228363037
2,290,3.881181001663208
2,300,3.909079074859619
2,310,3.8691041469573975
2,320,7.942249298095703
2,330,5.414574146270752
2,340,3.7939605712890625
2,350,3.781357765197754
2,360,3.800585985183716
2,370,3.799851894378662
2,380,3.735142707824707
2,390,3.8040623664855957
2,400,3.8038997650146484
2,410,3.672783613204956
2,420,3.7072763442993164
2,430,3.6533074378967285
2,440,3.640482187271118
2,450,3.6125080585479736
2,460,3.69610595703125
2,470,3.6190502643585205
2,480,3.705150842666626
2,490,3.6585516929626465
2,500,3.5424416065216064
2,510,3.5197532176971436
2,520,3.5056748390197754
2,530,3.4899330139160156
2,540,3.4758336544036865
2,550,3.4600424766540527
2,560,3.4435386657714844
2,570,3.4255707263946533
2,580,3.4187440872192383
2,590,3.398972988128662
2,600,3.3811302185058594
2,610,3.364286184310913
2,620,3.380295753479004
2,630,3.366184711456299
2,640,3.6657190322875977
2,650,3.3129701614379883
3,300,3.338325262069702
3,310,3.348154306411743
3,320,3.594499111175537
3,330,3.3203353881835938
3,340,3.3194167613983154
3,350,3.5311050415039062
3,360,3.509354591369629
3,370,3.2022125720977783
3,380,3.233734369277954
3,390,3.1641881465911865
3,400,3.180464267730713
3,410,3.2193751335144043
3,420,4.03779411315918
3,430,3.267667055130005
3,440,3.957611322402954
3,450,3.591726303100586
3,460,3.521174192428589
3,470,3.5014169216156006
3,480,3.0637052059173584
3,490,3.033616781234741
3,500,3.0415213108062744
3,510,3.1567862033843994
3,520,3.807791233062744
3,530,3.3018805980682373
3,540,4.774381160736084
3,550,3.6152758598327637
3,560,4.10152530670166
3,570,3.149529457092285
3,580,2.908895254135132
3,590,2.982598066329956
3,600,4.0115461349487305
3,610,3.6593291759490967
3,620,2.9659781455993652
3,630,2.9055042266845703
3,640,2.8696155548095703
3,650,3.1863157749176025
3,660,2.982009172439575
3,670,3.871183156967163
3,680,3.6990065574645996
3,690,2.926339626312256
3,700,2.7670016288757324
3,710,2.7675812244415283
3,720,2.7661867141723633
3,730,2.7615859508514404
3,740,3.160318613052368
3,750,3.2224373817443848
4,400,2.8400285243988037
4,410,2.701228141784668
4,420,2.683490037918091
4,430,2.6858069896698
4,440,2.868605613708496
4,450,3.9945969581604004
4,460,3.6646132469177246
4,470,2.652137517929077
4,480,2.65771746635437
4,490,2.583972215652466
4,500,2.576585531234741
4,510,2.566638946533203
4,520,2.582688331604004
4,530,2.6187076568603516
4,540,2.5343446731567383
4,550,2.5348336696624756
4,560,2.614598274230957
4,570,2.8566362857818604
4,580,2.671206474304199
4,590,2.4762561321258545
4,600,2.459808349609375
4,610,2.4492223262786865
4,620,2.438343048095703
4,630,2.427170753479004
4,640,2.9581098556518555
4,650,7.448239326477051
4,660,2.4375717639923096
4,670,2.386718988418579
4,680,2.3717522621154785
4,690,2.3642566204071045
4,700,2.353179931640625
4,710,2.340531587600708
4,720,2.3338253498077393
4,730,2.3212568759918213
4,740,2.3113811016082764
4,750,2.2993428707122803
4,760,2.292086124420166
4,770,2.2979228496551514
4,780,2.2918999195098877
4,790,2.2673754692077637
4,800,2.2458348274230957
4,810,2.234740734100342
4,820,2.225410223007202
4,830,2.217311382293701
4,840,2.206728458404541
4,850,2.1980934143066406
5,500,2.192375659942627
5,510,2.1847097873687744
5,520,2.1741530895233154
5,530,2.164618492126465
5,540,2.154956817626953
5,550,2.145658493041992
5,560,2.1340789794921875
5,570,2.126166582107544
5,580,2.128613233566284
5,590,2.161945343017578
5,600,4.927826881408691
5,610,4.908194541931152
5,620,2.078005075454712
5,630,2.0661962032318115
5,640,2.1009464263916016
5,650,2.096198081970215
5,660,2.0752086639404297
5,670,2.0875790119171143
5,680,2.147490978240967
5,690,2.009938955307007
5,700,2.0299084186553955
5,710,2.013946056365967
5,720,1.994433879852295
5,730,1.9811004400253296
5,740,2.043342113494873
5,750,2.0247714519500732
5,760,2.0423901081085205
5,770,2.061749219894409
5,780,1.9405473470687866
5,790,1.9341915845870972
5,800,1.9171544313430786
5,810,1.9065663814544678
5,820,1.8978215456008911
5,830,1.8893613815307617
5,840,1.8823684453964233
5,850,1.8729190826416016
5,860,1.874665379524231
5,870,1.8610613346099854
5,880,1.8517459630966187
5,890,1.8355385065078735
5,900,1.8486593961715698
5,910,1.8737719058990479
5,920,2.103663206100464
5,930,1.8450446128845215
5,940,1.8254903554916382
5,950,1.8749806880950928
6,600,2.0576624870300293
6,610,1.9501200914382935
6,620,1.7874445915222168
6,630,2.017404794692993
6,640,2.0694568157196045
6,650,1.7526323795318604
6,660,1.7794840335845947
6,670,1.7211657762527466
6,680,1.7444809675216675
6,690,1.7208328247070312
6,700,2.529644250869751
6,710,1.876550316810608
6,720,2.456237316131592
6,730,2.3668711185455322
6,740,1.9366191625595093
6,750,2.207411289215088
6,760,1.7184523344039917
6,770,1.6475749015808105
6,780,1.6514363288879395
6,790,1.779100775718689
6,800,2.0838780403137207
6,810,2.30013108253479
6,820,2.872582197189331
6,830,2.741636276245117
6,840,2.5938963890075684
6,850,2.0092008113861084
6,860,1.5726877450942993
6,870,1.594002366065979
6,880,2.447453737258911
6,890,2.7013916969299316
6,900,1.604109287261963
6,910,1.6210498809814453
6,920,1.5354019403457642
6,930,1.8135236501693726
6,940,1.7179354429244995
6,950,2.31951904296875
6,960,2.567817211151123
6,970,1.756281852722168
6,980,1.488237738609314
6,990,1.4943172931671143
6,1000,1.4978030920028687
6,1010,1.5011327266693115
6,1020,1.8035805225372314
6,1030,2.0114054679870605
6,1040,1.655855655670166
6,1050,1.4851938486099243
7,700,1.4615380764007568
7,710,1.4364970922470093
7,720,1.5560747385025024
7,730,2.5062570571899414
7,740,2.800835132598877
7,750,1.483030080795288
7,760,1.4792447090148926
7,770,1.3827637434005737
7,780,1.3875398635864258
7,790,1.377034306526184
7,800,1.3804885149002075
7,810,1.4102305173873901
7,820,1.3804185390472412
7,830,1.3492599725723267
7,840,1.4420051574707031
7,850,1.738808512687683
7,860,1.4546037912368774
7,870,1.4265328645706177
7,880,1.319130778312683
7,890,1.3114628791809082
7,900,1.3043659925460815
7,910,1.2976704835891724
7,920,1.3436379432678223
7,930,6.5574727058410645
7,940,1.467347502708435
7,950,1.2732707262039185
7,960,1.2601102590560913
7,970,1.2563937902450562
7,980,1.2532007694244385
7,990,1.241580605506897
7,1000,1.2413126230239868
7,1010,1.2322919368743896
7,1020,1.2258514165878296
7,1030,1.2247079610824585
7,1040,1.2217838764190674
7,1050,1.214294672012329
7,1060,1.222000241279602
7,1070,1.2053141593933105
7,1080,1.1936438083648682
7,1090,1.18324613571167
7,1100,1.1800330877304077
7,1110,1.1733065843582153
7,1120,1.1660712957382202
7,1130,1.1640772819519043
7,1140,1.1524640321731567
7,1150,1.1504817008972168
8,800,1.149827003479004
8,810,1.142638087272644
8,820,1.1351372003555298
8,830,1.1297398805618286
8,840,1.1225247383117676
8,850,1.1183106899261475
8,860,1.1179596185684204
8,870,1.168565034866333
8,880,2.581162452697754
8,890,5.177999973297119
8,900,1.0963250398635864
8,910,1.0832690000534058
8,920,1.1204856634140015
8,930,1.1152548789978027
8,940,1.1190048456192017
8,950,1.0837748050689697
8,960,1.166696548461914
8,970,1.0617830753326416
8,980,1.0580878257751465
8,990,1.0613665580749512
8,1000,1.042934536933899
8,1010,1.0525881052017212
8,1020,1.0798293352127075
8,1030,1.1103544235229492
8,1040,1.1050658226013184
8,1050,1.1523957252502441
8,1060,1.0321178436279297
8,1070,1.0248332023620605
8,1080,1.005484700202942
8,1090,0.9989215731620789
8,1100,1.0032975673675537
8,1110,0.9942773580551147
8,1120,0.9874765276908875
8,1130,0.9820715188980103
8,1140,0.9918158054351807
8,1150,0.9827504754066467
8,1160,0.9851211905479431
8,1170,0.9541057348251343
8,1180,0.9690404534339905
8,1190,1.0174607038497925
8,1200,1.1378434896469116
8,1210,1.077359914779663
8,1220,0.9494426250457764
8,1230,1.0123376846313477
8,1240,1.097127914428711
8,1250,1.180620551109314
9,900,0.9172489047050476
9,910,1.0846894979476929
9,920,1.1803274154663086
9,930,0.9275949001312256
9,940,0.9551834464073181
9,950,0.8923187255859375
9,960,0.9014638662338257
9,970,0.8906450867652893
9,980,1.6078581809997559
9,990,1.1583986282348633
9,1000,1.4204721450805664
9,1010,1.592054843902588
9,1020,0.9914488792419434
9,1030,1.504988670349121
9,1040,0.9919368624687195
9,1050,0.8518757224082947
9,1060,0.8560130000114441
9,1070,0.9667949080467224
9,1080,1.0791971683502197
9,1090,1.7644321918487549
9,1100,1.5574688911437988
9,1110,2.581648826599121
9,1120,1.5384235382080078
9,1130,1.4290831089019775
9,1140,0.8137193322181702
9,1150,0.8130984902381897
9,1160,1.4698519706726074
9,1170,2.2037696838378906
9,1180,0.8575383424758911
9,1190,0.9019384980201721
9,1200,0.7888426780700684
9,1210,0.9524215459823608
9,1220,1.1099536418914795
9,1230,1.2085438966751099
9,1240,1.8295669555664062
9,1250,1.0732241868972778
9,1260,0.7621767520904541
9,1270,0.7579144239425659
9,1280,0.8197215795516968
9,1290,0.8120473623275757
9,1300,0.9973625540733337
9,1310,1.2925541400909424
9,1320,0.978582501411438
9,1330,0.8110231161117554
9,1340,0.7617202997207642
9,1350,0.7414367198944092
10,1000,0.8358632326126099
10,1010,1.4947175979614258
10,1020,2.1551413536071777
10,1030,0.9319518804550171
10,1040,0.8071534633636475
10,1050,0.7086297869682312
10,1060,0.7135608196258545
10,1070,0.7047579288482666
10,1080,0.7113441824913025
10,1090,0.7337231040000916
10,1100,0.7362458109855652
10,1110,0.6933596134185791
10,1120,0.7977821826934814
10,1130,1.0679030418395996
10,1140,0.767096757888794
10,1150,0.8493078947067261
10,1160,0.6796262860298157
10,1170,0.6818276643753052
10,1180,0.6650092601776123
10,1190,0.6642192006111145
10,1200,0.7189594507217407
10,1210,5.190705299377441
10,1220,1.5293376445770264
10,1230,0.6544826030731201
10,1240,0.6551749110221863
10,1250,0.6675112843513489
10,1260,0.6422758102416992
10,1270,0.6375006437301636
10,1280,0.6430883407592773
10,1290,0.6341266632080078
10,1300,0.6349602937698364
10,1310,0.6357012391090393
10,1320,0.6338838934898376
10,1330,0.6220427751541138
10,1340,0.6349343657493591
10,1350,0.6229931712150574
10,1360,0.6154527068138123
10,1370,0.6056479215621948
10,1380,0.6042065620422363
10,1390,0.5994821786880493
10,1400,0.5948476791381836
10,1410,0.5951768755912781
10,1420,0.5891477465629578
10,1430,0.587282657623291
10,1440,0.587576150894165
10,1450,0.5828286409378052
11,1100,0.5809187889099121
11,1110,0.5778487920761108
11,1120,0.5764374732971191
11,1130,0.5746053457260132
11,1140,0.5764473676681519
11,1150,0.650173008441925
11,1160,0.7917191982269287
11,1170,6.072535514831543
11,1180,0.5627040266990662
11,1190,0.5826641321182251
11,1200,0.5696532130241394
11,1210,0.5503894686698914
11,1220,0.5764294862747192
11,1230,0.5491620302200317
11,1240,0.7057638764381409
11,1250,0.5972484946250916
11,1260,0.5365257263183594
11,1270,0.58599454164505
11,1280,0.5410512685775757
11,1290,0.5392246842384338
11,1300,0.560804545879364
11,1310,0.6337831616401672
11,1320,0.5667193531990051
11,1330,0.6109448671340942
11,1340,0.5600600838661194
11,1350,0.5470303893089294
11,1360,0.5314386487007141
11,1370,0.5240730047225952
11,1380,0.5201976299285889
11,1390,0.5162678956985474
11,1400,0.5149365663528442
11,1410,0.5111276507377625
11,1420,0.513890266418457
11,1430,0.5132423639297485
11,1440,0.5180971622467041
11,1450,0.4931919276714325
11,1460,0.4975825846195221
11,1470,0.5387868285179138
11,1480,0.5686943531036377
11,1490,0.7713396549224854
11,1500,0.480938583612442
11,1510,0.539752721786499
11,1520,0.6114125847816467
11,1530,0.6362069249153137
11,1540,0.4868859052658081
11,1550,0.5971750617027283
12,1200,0.7915103435516357
12,1210,0.6134055256843567
12,1220,0.5216541886329651
12,1230,0.4658985137939453
12,1240,0.467721164226532
12,1250,0.4732382297515869
12,1260,0.9043484926223755
12,1270,0.839606523513794
12,1280,0.9412791728973389
12,1290,1.2819615602493286
12,1300,0.5859962701797485
12,1310,1.0812311172485352
12,1320,0.6543289422988892
12,1330,0.44565218687057495
12,1340,0.4595792889595032
12,1350,0.5269145369529724
12,1360,0.5989858508110046
12,1370,1.415778398513794
12,1380,0.750438928604126
12,1390,2.576150894165039
12,1400,0.9395745992660522
12,1410,1.3215646743774414
12,1420,0.4511212408542633
12,1430,0.4233148396015167
12,1440,0.7855903506278992
12,1450,1.7713797092437744
12,1460,0.7779579162597656
12,1470,0.549856960773468
12,1480,0.48260343074798584
12,1490,0.4409608840942383
12,1500,0.712854266166687
12,1510,0.728498637676239
12,1520,1.8284025192260742
12,1530,0.9692284464836121
12,1540,0.4041302502155304
12,1550,0.4153261184692383
12,1560,0.4318116307258606
12,1570,0.43698909878730774
12,1580,0.5508166551589966
12,1590,0.9357600212097168
12,1600,0.7512251138687134
12,1610,0.4851500988006592
12,1620,0.41584768891334534
12,1630,0.3952195644378662
12,1640,0.42819443345069885
12,1650,0.8327896595001221
13,1300,1.5909857749938965
13,1310,0.8174136877059937
13,1320,0.47487160563468933
13,1330,0.3813434839248657
13,1340,0.3804144859313965
13,1350,0.37453147768974304
13,1360,0.375457763671875
13,1370,0.3933238387107849
13,1380,0.4008305072784424
13,1390,0.3941834270954132
13,1400,0.4918056130409241
13,1410,0.606582522392273
13,1420,0.5839316844940186
13,1430,0.7313255071640015
13,1440,0.3792434334754944
13,1450,0.35498353838920593
13,1460,0.36200886964797974
13,1470,0.35405904054641724
13,1480,0.361690491437912
13,1490,3.3416454792022705
13,1500,2.9916627407073975
13,1510,0.35565683245658875
13,1520,0.3479415476322174
13,1530,0.345386803150177
13,1540,0.3491761386394501
13,1550,0.3430195748806
13,1560,0.3450546860694885
13,1570,0.3409862816333771
13,1580,0.3421688675880432
13,1590,0.34082913398742676
13,1600,0.3363552391529083
13,1610,0.34156477451324463
13,1620,0.3640705347061157
13,1630,0.35736069083213806
13,1640,0.3314593434333801
13,1650,0.32694435119628906
13,1660,0.32738596200942993
13,1670,0.3252587616443634
13,1680,0.32340845465660095
13,1690,0.32430851459503174
13,1700,0.32063770294189453
13,1710,0.32334715127944946
13,1720,0.32854631543159485
13,1730,0.32268446683883667
13,1740,0.32206812500953674
13,1750,0.31884047389030457
14,1400,0.3200836181640625
14,1410,0.3235716223716736
14,1420,0.3356494903564453
14,1430,0.37991398572921753
14,1440,0.34154126048088074
14,1450,5.639496326446533
14,1460,0.8025038242340088
14,1470,0.3087569773197174
14,1480,0.3211810886859894
14,1490,0.35362762212753296
14,1500,0.3604060411453247
14,1510,0.3072187900543213
14,1520,0.3970611095428467
14,1530,0.3595653474330902
14,1540,0.29834824800491333
14,1550,0.3439587354660034
14,1560,0.3077594041824341
14,1570,0.3042936623096466
14,1580,0.3007850646972656
14,1590,0.433864951133728
14,1600,0.3239152133464813
14,1610,0.40686559677124023
14,1620,0.36026740074157715
14,1630,0.3176988363265991
14,1640,0.30411264300346375
14,1650,0.2989501357078552
14,1660,0.31322112679481506
14,1670,0.33175334334373474
14,1680,0.3566577136516571
14,1690,0.3284178078174591
14,1700,0.28414303064346313
14,1710,0.29443615674972534
14,1720,0.28745147585868835
14,1730,0.28336381912231445
14,1740,0.293420672416687
14,1750,0.2909305989742279
14,1760,0.29265034198760986
14,1770,0.6755319237709045
14,1780,0.27762600779533386
14,1790,0.3178042769432068
14,1800,0.37467026710510254
14,1810,0.5914150476455688
14,1820,0.3005862534046173
14,1830,0.3026633858680725
14,1840,0.42875081300735474
14,1850,0.443973183631897
15,1500,0.29727864265441895
15,1510,0.29289546608924866
15,1520,0.26772284507751465
15,1530,0.320793092250824
15,1540,0.3858194351196289
15,1550,0.7562046051025391
15,1560,0.5699451565742493
15,1570,1.1450692415237427
15,1580,0.6097843647003174
15,1590,0.6269563436508179
15,1600,0.5274698138237
15,1610,0.26165056228637695
15,1620,0.27339816093444824
15,1630,0.2958054840564728
15,1640,0.3955683410167694
15,1650,0.771965503692627
15,1660,0.35097023844718933
15,1670,2.3015196323394775
15,1680,0.6541027426719666
15,1690,0.7556648254394531
15,1700,0.3535423278808594
15,1710,0.2557431757450104
15,1720,0.3766251802444458
15,1730,1.3300666809082031
15,1740,0.7933073043823242
15,1750,0.3979823589324951
15,1760,0.29256534576416016
15,1770,0.2986236810684204
15,1780,0.5809419751167297
15,1790,0.4213082194328308
15,1800,1.029115080833435
15,1810,0.7134857773780823
15,1820,0.28562453389167786
15,1830,0.24784249067306519
15,1840,0.24959269165992737
15,1850,0.2526198625564575
15,1860,0.2916099727153778
15,1870,0.78373783826828
15,1880,0.716036319732666
15,1890,0.39201539754867554
15,1900,0.27273038029670715
15,1910,0.25108885765075684
15,1920,0.2587065100669861
15,1930,0.4518032670021057
15,1940,0.9504883885383606
15,1950,0.4222131371498108
16,1600,0.34001436829566956
16,1610,0.2714066207408905
16,1620,0.2432732731103897
16,1630,0.2360411137342453
16,1640,0.2370443344116211
16,1650,0.23615413904190063
16,1660,0.31224480271339417
16,1670,0.22887864708900452
16,1680,0.2650374472141266
16,1690,0.3457799553871155
16,1700,0.522281289100647
16,1710,0.4096597135066986
16,1720,0.22204004228115082
16,1730,0.2179071605205536
16,1740,0.2175196260213852
16,1750,0.21717728674411774
16,1760,0.2537762224674225
16,1770,1.5004018545150757
16,1780,4.082801342010498
16,1790,0.22817377746105194
16,1800,0.2166023999452591
16,1810,0.21606740355491638
16,1820,0.22566138207912445
16,1830,0.2172471433877945
16,1840,0.21607829630374908
16,1850,0.21317069232463837
16,1860,0.21101683378219604
16,1870,0.2123555839061737
16,1880,0.20884469151496887
16,1890,0.21410226821899414
16,1900,0.24269385635852814
16,1910,0.24655486643314362
16,1920,0.29380878806114197
16,1930,0.21731939911842346
16,1940,0.21676553785800934
16,1950,0.23404179513454437
16,1960,0.21380716562271118
16,1970,0.21103908121585846
16,1980,0.2260434776544571
16,1990,0.22152583301067352
16,2000,0.2254156470298767
16,2010,0.22183220088481903
16,2020,0.22392156720161438
16,2030,0.20860446989536285
16,2040,0.20996499061584473
16,2050,0.21139974892139435
17,1700,0.20462515950202942
17,1710,0.2580828368663788
17,1720,0.24174629151821136
17,1730,4.022794246673584
17,1740,2.1040449142456055
17,1750,0.20426428318023682
17,1760,0.20553702116012573
17,1770,0.30130526423454285
17,1780,0.2958884835243225
17,1790,0.22624853253364563
17,1800,0.24311405420303345
17,1810,0.23784758150577545
17,1820,0.20087328553199768
17,1830,0.2158339023590088
17,1840,0.2095724642276764
17,1850,0.2071305811405182
17,1860,0.19488920271396637
17,1870,0.28206875920295715
17,1880,0.22558318078517914
17,1890,0.23112034797668457
17,1900,0.19320988655090332
17,1910,0.20646025240421295
17,1920,0.19194021821022034
17,1930,0.19078175723552704
17,1940,0.18936580419540405
17,1950,0.19716303050518036
17,1960,0.1934036910533905
17,1970,0.1942930668592453
17,1980,0.18940448760986328
17,1990,0.194229856133461
17,2000,0.1877848505973816
17,2010,0.18963010609149933
17,2020,0.19819122552871704
17,2030,0.1990799903869629
17,2040,0.2132062166929245
17,2050,0.48389533162117004
17,2060,0.1973181962966919
17,2070,0.2372066080570221
17,2080,0.34253764152526855
17,2090,0.5331507921218872
17,2100,0.3272358179092407
17,2110,0.21107164025306702
17,2120,0.2748628854751587
17,2130,0.3990417718887329
17,2140,0.18845884501934052
17,2150,0.22640904784202576
18,1800,0.1807999312877655
18,1810,0.20508599281311035
18,1820,0.2173381894826889
18,1830,0.6747308373451233
18,1840,0.3852992653846741
18,1850,0.8870232105255127
18,1860,0.6184955835342407
